City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kedrovyy,56.1667,91.8167,-12.77,98,100,0.79,RU,1675504501
1,lebu,-37.6167,-73.65,14.3,88,1,0.66,CL,1675504501
2,yellowknife,62.456,-114.3525,-25.71,76,100,3.09,CA,1675504502
3,busselton,-33.65,115.3333,30.53,30,10,6.02,AU,1675504503
4,hami,42.8,93.45,0.92,35,9,1.54,CN,1675504504
5,shache,38.4167,77.2406,4.58,44,0,1.3,CN,1675504505
6,qaanaaq,77.484,-69.3632,-19.59,58,21,2.98,GL,1675504505
7,vaini,-21.2,-175.2,26.09,89,75,2.57,TO,1675504506
8,te anau,-45.4167,167.7167,20.27,78,51,1.36,NZ,1675504506
9,bluff,-46.6,168.3333,17.57,85,45,0.55,NZ,1675504507
10,puerto narino,-3.7703,-70.3831,21.58,98,100,0.45,CO,1675504508
11,kerman,30.2832,57.0788,12.92,44,0,2.06,IR,1675504508
12,punta arenas,-53.15,-70.9167,10.06,66,0,9.26,CL,1675504509
13,lelydorp,5.7,-55.2333,24.41,90,45,0.86,SR,1675504510
14,hobart,-42.8794,147.3294,15.03,80,75,5.14,AU,1675504214
15,berlevag,70.8578,29.0864,-4.03,58,100,3.09,NO,1675504510
16,cabo san lucas,22.8909,-109.9124,18.62,64,42,0.83,MX,1675504511
17,wodonga,-36.1167,146.8833,14.42,100,52,1.45,AU,1675504512
18,carnarvon,-24.8667,113.6333,27.73,69,4,7.9,AU,1675504512
19,am timan,11.0297,20.2827,33.15,9,53,4.57,TD,1675504513
20,albany,42.6001,-73.9662,-23.57,51,10,1.34,US,1675504239
21,deer lake,49.1667,-57.4316,-17.08,66,100,16.98,CA,1675504514
22,avarua,-21.2078,-159.775,27.03,89,40,5.14,CK,1675504515
23,ushuaia,-54.8,-68.3,7.81,71,0,11.83,AR,1675504371
24,inirida,3.8653,-67.9239,21.81,84,72,0.22,CO,1675504516
25,ancud,-41.8697,-73.8203,13.43,82,34,0.43,CL,1675504516
26,butaritari,3.0707,172.7902,27.4,81,33,9.02,KI,1675504517
27,yulara,-25.2406,130.9889,27.21,22,0,4.9,AU,1675504518
28,salihorsk,52.7876,27.5415,-4.64,87,100,3.64,BY,1675504518
29,mezen,65.8522,44.24,-12.48,97,89,1.86,RU,1675504519
30,cape town,-33.9258,18.4232,30.06,45,0,4.12,ZA,1675504520
31,pangnirtung,66.1451,-65.7125,-33.33,92,100,0.89,CA,1675504520
32,georgetown,5.4112,100.3354,30.96,74,20,4.63,MY,1675504521
33,paramonga,-10.6667,-77.8333,21.61,87,98,1.89,PE,1675504521
34,jiaohe,43.7286,127.3447,-15.43,96,82,1.13,CN,1675504522
35,esperance,-33.8667,121.9,23.66,58,0,9.59,AU,1675504522
36,awjilah,29.1081,21.2869,15.43,50,99,2.82,LY,1675504523
37,cherskiy,68.75,161.3,-37.13,100,89,1.18,RU,1675504524
38,saint-paul,-21.0096,55.2707,31.05,79,29,1.2,RE,1675504524
39,tasiilaq,65.6145,-37.6368,-1.91,87,100,2.84,GL,1675504525
40,sohag,26.557,31.6948,16.16,23,8,5.87,EG,1675504525
41,paraiso,9.8383,-83.8656,18.48,98,23,2.01,CR,1675504526
42,ayagoz,47.9714,80.4392,-1.16,96,100,5.18,KZ,1675504526
43,abu samrah,35.3029,37.1841,4.97,91,100,5.15,SY,1675504527
44,yeovil,50.9416,-2.6321,8.58,81,100,1.79,GB,1675504527
45,rikitea,-23.1203,-134.9692,25.63,76,87,5.72,PF,1675504528
46,mandalon,40.8583,22.2097,12.52,52,58,0.84,GR,1675504528
47,hilo,19.7297,-155.09,22.57,91,40,2.06,US,1675504529
48,lorengau,-2.0226,147.2712,27.56,72,100,2.02,PG,1675504530
49,huarmey,-10.0681,-78.1522,21.8,85,100,1.85,PE,1675504530
50,tomohon,1.3346,124.8392,20.52,93,100,1.04,ID,1675504531
51,omboue,-1.5746,9.2618,29.4,69,98,2.73,GA,1675504531
52,aksu,41.1231,80.2644,1.26,59,45,1.01,CN,1675504532
53,atar,20.5169,-13.0499,18.03,19,100,6.17,MR,1675504532
54,yaan,7.3833,8.5667,34.17,17,63,3.05,NG,1675504533
55,sisimiut,66.9395,-53.6735,-18.06,93,100,1.33,GL,1675504534
56,dikson,73.5069,80.5464,-22.61,100,100,1.16,RU,1675504534
57,ahipara,-35.1667,173.1667,19.09,95,97,3.36,NZ,1675504535
58,bredasdorp,-34.5322,20.0403,29.19,47,18,4.0,ZA,1675504536
59,jamestown,42.097,-79.2353,-11.27,68,100,1.34,US,1675504249
60,nikolskoye,59.7035,30.7861,-2.9,91,100,4.18,RU,1675504537
61,kendari,-3.945,122.4989,24.64,89,100,0.98,ID,1675504537
62,saint-philippe,-21.3585,55.7679,28.77,84,45,5.48,RE,1675504538
63,mananjary,-21.2167,48.3333,25.9,86,71,2.92,MG,1675504539
